Forum,Topic,Replies,Last Post,Topic Link
Kathmandu, Travelling to Nepal for first time... (Closed topic)  by Claudio  ,8,27 October 2017,/ShowTopic-g293890-i9244-k10288802-Travelling_to_Nepal_for_first_time-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, Travel plan (Closed topic)  by Satanik G  ,3,27 October 2017,/ShowTopic-g293890-i9244-k10962186-Travel_plan-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, Indians travelling to Nepal (Closed topic)  by seethag0pal  ,4,27 October 2017,/ShowTopic-g293890-i9244-k10967176-Indians_travelling_to_Nepal-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, How Do I Dress? (Closed topic)  by Badmofo63  ,4,27 October 2017,/ShowTopic-g293890-i9244-k10964402-How_Do_I_Dress-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, Trekking to Mount Everest basecamp in shoes? (Closed topic)  by Chris T  ,15,27 October 2017,/ShowTopic-g293890-i9244-k10888879-Trekking_to_Mount_Everest_basecamp_in_shoes-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Centra.html
Pokhara, How to get from Pokhara to Lumbini (Closed topic)  by Fairydelmundo  ,3,27 October 2017,/ShowTopic-g293891-i9631-k10967796-How_to_get_from_Pokhara_to_Lumbini-Pokhara_Gandaki_Zone_Western_Region.html
Kathmandu, For or against trekking poles? (Closed topic)  by Mdlim24  ,16,26 October 2017,/ShowTopic-g293890-i9244-k10961048-For_or_against_trekking_poles-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, Khukuri in carry on bag (Closed topic)  by ddickinscoll  ,3,26 October 2017,/ShowTopic-g293890-i9244-k10967960-Khukuri_in_carry_on_bag-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Sagarmatha Zone, Alternate Routes (Closed topic)  by Varun B  ,6,26 October 2017,/ShowTopic-g3475445-i30441-k10966397-Alternate_Routes-Sagarmatha_Zone_Eastern_Region.html
Kathmandu, December visit to Kathmandu (Closed topic)  by sunleokrishna  ,0,"
by ",/ShowTopic-g293890-i9244-k10967391-December_visit_to_Kathmandu-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Dhaulagiri Zone, Trekking Partner December 2017  by piihen  ,3,26 October 2017,/ShowTopic-g3475455-i29634-k10967108-Trekking_Partner_December_2017-Dhaulagiri_Zone_Western_Region.html
Khumbu," End of November, how much daylight? (Closed topic)  by RobMassili  ",4,26 October 2017,/ShowTopic-g1207738-i19967-k10967021-End_of_November_how_much_daylight-Khumbu_Sagarmatha_Zone_Eastern_Region.html
Kathmandu, Leaving luggage in Kathmandu (Closed topic)  by kmistry84  ,14,26 October 2017,/ShowTopic-g293890-i9244-k10962105-Leaving_luggage_in_Kathmandu-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Namche Bazaar, Where to get a USB C cable or charger  by azizelo  ,3,25 October 2017,/ShowTopic-g1203014-i26590-k10964866-Where_to_get_a_USB_C_cable_or_charger-Namche_Bazaar_Khumbu_Sagarmatha_Zone_Eastern_Regio.html
Kathmandu, Is Ncell the best SIM card to get when going to EBC? (Closed topic)  by Monique L  ,4,25 October 2017,/ShowTopic-g293890-i9244-k10960755-Is_Ncell_the_best_SIM_card_to_get_when_going_to_EBC-Kathmandu_Kathmandu_Valley_Bagmati_Zon.html
Annapurna Region, Winter trek on the Annapurna Circuit (Closed topic)  by Matt K  ,3,25 October 2017,/ShowTopic-g424944-i12328-k10963031-Winter_trek_on_the_Annapurna_Circuit-Annapurna_Region_Gandaki_Zone_Western_Region.html
Pokhara, Bayeli Kharka or Dobato overnight? (Khopra trek) (Closed topic)  by Montreal_traveller09  ,35,24 October 2017,/ShowTopic-g293891-i9631-k10794746-Bayeli_Kharka_or_Dobato_overnight_Khopra_trek-Pokhara_Gandaki_Zone_Western_Region.html
Pokhara, about listing (Closed topic)  by Guru P  ,1,24 October 2017,/ShowTopic-g293891-i9631-k10962838-About_listing-Pokhara_Gandaki_Zone_Western_Region.html
Jomsom, upper mustang trek (Closed topic)  by Traveling_Sriju  ,9,24 October 2017,/ShowTopic-g424950-i25020-k10777966-Upper_mustang_trek-Jomsom_Dhaulagiri_Zone_Western_Region.html
Kathmandu, Buying hiking shoes/boots in Kathmandu (Closed topic)  by Monique L  ,18,23 October 2017,/ShowTopic-g293890-i9244-k10903311-Buying_hiking_shoes_boots_in_Kathmandu-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Reg.html
Khumbu, are there scary parts of the EBC trek? (Closed topic)  by RobMassili  ,14,23 October 2017,/ShowTopic-g1207738-i19967-k10950508-Are_there_scary_parts_of_the_EBC_trek-Khumbu_Sagarmatha_Zone_Eastern_Region.html
Kathmandu, is Nepal visa required for group travel from India to Nepal (Closed topic)  by Irene Yang  ,1,23 October 2017,/ShowTopic-g293890-i9244-k10959989-Is_Nepal_visa_required_for_group_travel_from_India_to_Nepal-Kathmandu_Kathmandu_Valley_Bag.html
Kathmandu, electric convertor (Closed topic)  by khatiwadaparash  ,3,23 October 2017,/ShowTopic-g293890-i9244-k10958661-Electric_convertor-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, Which is the best sim for international calls and data a (Closed topic)  by renadxb  ,10,23 October 2017,/ShowTopic-g293890-i9244-k10923703-Which_is_the_best_sim_for_international_calls_and_data_a-Kathmandu_Kathmandu_Valley_Bagmat.html
Kathmandu, tips in restaurants or private driver (Closed topic)  by HeleN D  ,9,23 October 2017,/ShowTopic-g293890-i9244-k10953862-Tips_in_restaurants_or_private_driver-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Regi.html
Annapurna Region, Annapurna circuit costs (Closed topic)  by kmaidment  ,13,23 October 2017,/ShowTopic-g424944-i12328-k10926422-Annapurna_circuit_costs-Annapurna_Region_Gandaki_Zone_Western_Region.html
Annapurna Region, Annapurna Base Camp or Annapurna circuit trek? (Closed topic)  by LucianPopescu13  ,10,23 October 2017,/ShowTopic-g424944-i12328-k10748526-Annapurna_Base_Camp_or_Annapurna_circuit_trek-Annapurna_Region_Gandaki_Zone_Western_Regio.html
Sagarmatha Zone, TIMS card in Monjo (Closed topic)  by MartaKaminska  ,11,23 October 2017,/ShowTopic-g3475445-i30441-k10932914-TIMS_card_in_Monjo-Sagarmatha_Zone_Eastern_Region.html
Kathmandu, Everest (Closed topic)  by zgerlach66  ,2,22 October 2017,/ShowTopic-g293890-i9244-k10957823-Everest-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, Indigo airlines (Closed topic)  by wedding79  ,3,21 October 2017,/ShowTopic-g293890-i9244-k10954984-Indigo_airlines-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, Looking for a hiking mate next feb 2018 (Closed topic)  by Chanvampira  ,2,21 October 2017,/ShowTopic-g293890-i9244-k10953807-Looking_for_a_hiking_mate_next_feb_2018-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Re.html
Pokhara, Weights gym in pokhara ? (Closed topic)  by mamasaidko  ,4,21 October 2017,/ShowTopic-g293891-i9631-k10900186-Weights_gym_in_pokhara-Pokhara_Gandaki_Zone_Western_Region.html
Pokhara, Taking a bus from Nayapul to Pokhara. (Closed topic)  by ddylanc  ,6,20 October 2017,/ShowTopic-g293891-i9631-k10789643-Taking_a_bus_from_Nayapul_to_Pokhara-Pokhara_Gandaki_Zone_Western_Region.html
Chitwan National Park, Chitwan (Closed topic)  by Tarun G  ,4,20 October 2017,/ShowTopic-g293892-i12066-k10952499-Chitwan-Chitwan_National_Park_Chitwan_District_Narayani_Zone_Central_Region.html
Kathmandu, Kathmandu vs Kuching Borneo (Closed topic)  by deLite79  ,4,20 October 2017,/ShowTopic-g293890-i9244-k10202003-Kathmandu_vs_Kuching_Borneo-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Khumbu," “So, where is the bathroom?” (Closed topic)  by pangit k  ",9,20 October 2017,/ShowTopic-g1207738-i19967-k10947464-So_where_is_the_bathroom-Khumbu_Sagarmatha_Zone_Eastern_Region.html
Eastern Region, Eastern region without EBC? (Closed topic)  by AceAlex  ,8,20 October 2017,/ShowTopic-g3475433-i27487-k10526559-Eastern_region_without_EBC-Eastern_Region.html
Kathmandu, Scenic flight over Mt Everest (Closed topic)  by RaindropOC  ,7,20 October 2017,/ShowTopic-g293890-i9244-k10927876-Scenic_flight_over_Mt_Everest-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, What happens in a small restaurant with a lady waiter? (Closed topic)  by Salil Kumar T  ,10,19 October 2017,/ShowTopic-g293890-i9244-k10543322-What_happens_in_a_small_restaurant_with_a_lady_waiter-Kathmandu_Kathmandu_Valley_Bagmati_Z.html
Kathmandu," Bagh Chal, Ludo, Carroms, Chess, Boardgames (Closed topic)  by Michael S  ",1,19 October 2017,/ShowTopic-g293890-i9244-k10949615-Bagh_Chal_Ludo_Carroms_Chess_Boardgames-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Re.html
Khumbu, distance between villages on EBC trek? (Closed topic)  by RobMassili  ,9,19 October 2017,/ShowTopic-g1207738-i19967-k10924540-Distance_between_villages_on_EBC_trek-Khumbu_Sagarmatha_Zone_Eastern_Region.html
Kathmandu, Is there a Wood Workers area in Kathmandu/Patan? (Closed topic)  by Michael S  ,1,19 October 2017,/ShowTopic-g293890-i9244-k10949604-Is_there_a_Wood_Workers_area_in_Kathmandu_Patan-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Ce.html
Kathmandu, money exchange in Thamel area (Closed topic)  by HeleN D  ,14,19 October 2017,/ShowTopic-g293890-i9244-k10925840-Money_exchange_in_Thamel_area-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, Nagarkot Tourism Fee (Closed topic)  by fjjjjtjd  ,7,18 October 2017,/ShowTopic-g293890-i9244-k10934577-Nagarkot_Tourism_Fee-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Khumbu, Nov 14-25. temperatures in villages? (Closed topic)  by davoice2  ,9,18 October 2017,/ShowTopic-g1207738-i19967-k10941142-Nov_14_25_temperatures_in_villages-Khumbu_Sagarmatha_Zone_Eastern_Region.html
Kathmandu, Nepal Tour (Closed topic)  by Sudhakara K  ,11,18 October 2017,/ShowTopic-g293890-i9244-k10654355-Nepal_Tour-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Pokhara, Taxi/Jeep rates in Pokhra (Closed topic)  by Brishti B  ,10,18 October 2017,/ShowTopic-g293891-i9631-k10601923-Taxi_Jeep_rates_in_Pokhra-Pokhara_Gandaki_Zone_Western_Region.html
Khumbu, EBC - we need itinerary help (Closed topic)  by pangit k  ,28,18 October 2017,/ShowTopic-g1207738-i19967-k10941119-EBC_we_need_itinerary_help-Khumbu_Sagarmatha_Zone_Eastern_Region.html
Kathmandu, Weather Nov 10 (Closed topic)  by Sankaran1234  ,2,17 October 2017,/ShowTopic-g293890-i9244-k10944189-Weather_Nov_10-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Annapurna Region, Hiring a jeep from Tatopani to Kagbeni (Closed topic)  by LavaLulu  ,9,17 October 2017,/ShowTopic-g424944-i12328-k10912113-Hiring_a_jeep_from_Tatopani_to_Kagbeni-Annapurna_Region_Gandaki_Zone_Western_Region.html
Pokhara, route for pokhra and kathmandu (Closed topic)  by samir  ,1,17 October 2017,/ShowTopic-g293891-i9631-k10944637-Route_for_pokhra_and_kathmandu-Pokhara_Gandaki_Zone_Western_Region.html
Annapurna Region, AC from end Nov - mid Dec (Closed topic)  by Maumu  ,58,17 October 2017,/ShowTopic-g424944-i12328-k10828236-AC_from_end_Nov_mid_Dec-Annapurna_Region_Gandaki_Zone_Western_Region.html
Kathmandu, Kathmandu Nov 9-12 (Closed topic)  by Sankaran1234  ,1,17 October 2017,/ShowTopic-g293890-i9244-k10944197-Kathmandu_Nov_9_12-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, I'm back for another trek this month!! Opinions....?? (Closed topic)  by fainafly  ,11,17 October 2017,/ShowTopic-g293890-i9244-k10919368-I_m_back_for_another_trek_this_month_Opinions-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Cent.html
Bhaktapur, Is it possible to do day pony treks from bhaktapur please?  by melly1234  ,1,17 October 2017,/ShowTopic-g424934-i17239-k10944148-Is_it_possible_to_do_day_pony_treks_from_bhaktapur_please-Bhaktapur_Kathmandu_Valley_Bagm.html
Pokhara, Jeep fare from Nayapul to Hille (Closed topic)  by Tanveer T  ,1,16 October 2017,/ShowTopic-g293891-i9631-k10941966-Jeep_fare_from_Nayapul_to_Hille-Pokhara_Gandaki_Zone_Western_Region.html
Kathmandu, Flight from Kathmandu to Lukla (Closed topic)  by jaykarp15  ,11,16 October 2017,/ShowTopic-g293890-i9244-k10937693-Flight_from_Kathmandu_to_Lukla-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, Porters and guides EBC (Closed topic)  by Wilmington John  ,6,16 October 2017,/ShowTopic-g293890-i9244-k10939676-Porters_and_guides_EBC-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, Visa for 44 days (Closed topic)  by Tom P  ,1,15 October 2017,/ShowTopic-g293890-i9244-k10939822-Visa_for_44_days-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Pokhara, Best route from Sanauli border to reach Pokhara (Closed topic)  by Brishti B  ,6,15 October 2017,/ShowTopic-g293891-i9631-k10931890-Best_route_from_Sanauli_border_to_reach_Pokhara-Pokhara_Gandaki_Zone_Western_Region.html
Mustang Region, Weather in February  by matthew g  ,4,15 October 2017,/ShowTopic-g424953-i11793-k10938715-Weather_in_February-Mustang_Region_Dhaulagiri_Zone_Western_Region.html
Annapurna Region, ***** anyone trekked ABC in early April? Feedback pls ***** (Closed topic)  by Tanin  ,1,15 October 2017,/ShowTopic-g424944-i12328-k10938723-Anyone_trekked_ABC_in_early_April_Feedback_pls-Annapurna_Region_Gandaki_Zone_Western_Regi.html
Pokhara, 3 Day Pokhara - Poon Hill - Pokhara Plan (Closed topic)  by Tanveer T  ,3,13 October 2017,/ShowTopic-g293891-i9631-k10934769-3_Day_Pokhara_Poon_Hill_Pokhara_Plan-Pokhara_Gandaki_Zone_Western_Region.html
Kathmandu, Kathmandu to Goa (Closed topic)  by wedding79  ,4,13 October 2017,/ShowTopic-g293890-i9244-k10934780-Kathmandu_to_Goa-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Lukla, Helicopter scenic flight (Closed topic)  by jaykay  ,5,13 October 2017,/ShowTopic-g1203015-i20087-k10923307-Helicopter_scenic_flight-Lukla_Sagarmatha_Zone_Eastern_Region.html
Kathmandu, new delhi vs kathmandu (Closed topic)  by umbrellabonni  ,4,13 October 2017,/ShowTopic-g293890-i9244-k10930923-New_delhi_vs_kathmandu-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, Opening hours Nepal Tourism Board in KTM (Closed topic)  by sepp181  ,4,13 October 2017,/ShowTopic-g293890-i9244-k10931750-Opening_hours_Nepal_Tourism_Board_in_KTM-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_R.html
Pokhara, Travel mate for Poonhill trek (Closed topic)  by Julian H  ,1,13 October 2017,/ShowTopic-g293891-i9631-k10934237-Travel_mate_for_Poonhill_trek-Pokhara_Gandaki_Zone_Western_Region.html
Pokhara, Documents required to cross Sanauli border (Closed topic)  by Brishti B  ,4,13 October 2017,/ShowTopic-g293891-i9631-k10931873-Documents_required_to_cross_Sanauli_border-Pokhara_Gandaki_Zone_Western_Region.html
Jomsom, Mountain Bike Rental in Jomsom  by 50mmking  ,4,11 October 2017,/ShowTopic-g424950-i25020-k10927855-Mountain_Bike_Rental_in_Jomsom-Jomsom_Dhaulagiri_Zone_Western_Region.html
Kathmandu, Air pollution in Kathmandu at the moment (Closed topic)  by Nick G  ,4,11 October 2017,/ShowTopic-g293890-i9244-k10928803-Air_pollution_in_Kathmandu_at_the_moment-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_R.html
Kathmandu, can i bring dried meat (like jerky) to nepal? (Closed topic)  by RobMassili  ,5,11 October 2017,/ShowTopic-g293890-i9244-k10928707-Can_i_bring_dried_meat_like_jerky_to_nepal-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central.html
Kathmandu," Best way for private day trip to Bhaktapur,Patan, Boudhanath (Closed topic)  by NHANNGUYEN2036  ",14,11 October 2017,/ShowTopic-g293890-i9244-k10886015-Best_way_for_private_day_trip_to_Bhaktapur_Patan_Boudhanath-Kathmandu_Kathmandu_Valley_Bag.html
Kathmandu, Data and Call rates for International travelers? (Closed topic)  by RobMassili  ,3,11 October 2017,/ShowTopic-g293890-i9244-k10928583-Data_and_Call_rates_for_International_travelers-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Ce.html
Sagarmatha Zone, EBC 3 Passes Trek Report (Closed topic)  by Craig C  ,3,10 October 2017,/ShowTopic-g3475445-i30441-k10925290-EBC_3_Passes_Trek_Report-Sagarmatha_Zone_Eastern_Region.html
Annapurna Region, Jeep from Pokhara to Landruk or Ghandruk (Closed topic)  by scottinouye  ,3,10 October 2017,/ShowTopic-g424944-i12328-k10289382-Jeep_from_Pokhara_to_Landruk_or_Ghandruk-Annapurna_Region_Gandaki_Zone_Western_Region.html
Kathmandu, Is 1hr40m enough to make a connecting flight at KTM airport? (Closed topic)  by wephillips  ,4,10 October 2017,/ShowTopic-g293890-i9244-k10925880-Is_1hr40m_enough_to_make_a_connecting_flight_at_KTM_airport-Kathmandu_Kathmandu_Valley_Bag.html
Annapurna Region, Is the full Annapurna Circuit still worth doing? (Closed topic)  by Mikeyb_and_michelleH  ,23,10 October 2017,/ShowTopic-g424944-i12328-k10266244-Is_the_full_Annapurna_Circuit_still_worth_doing-Annapurna_Region_Gandaki_Zone_Western_Reg.html
Kathmandu, Best accommodation in Kathmandu (Closed topic)  by Fairydelmundo  ,17,10 October 2017,/ShowTopic-g293890-i9244-k10900673-Best_accommodation_in_Kathmandu-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Pokhara, Trekking (Closed topic)  by Rahul V  ,8,10 October 2017,/ShowTopic-g293891-i9631-k10922108-Trekking-Pokhara_Gandaki_Zone_Western_Region.html
Kathmandu, Visa (Closed topic)  by Ayaz M  ,1,10 October 2017,/ShowTopic-g293890-i9244-k10926084-Visa-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, Tourism Office - Getting Permits for Others? (Closed topic)  by David W  ,8,09 October 2017,/ShowTopic-g293890-i9244-k10912262-Tourism_Office_Getting_Permits_for_Others-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_.html
Western Region," ABC in mid-November, some questions  by flwrpwr_8  ",2,09 October 2017,/ShowTopic-g3475436-i27153-k10920302-ABC_in_mid_November_some_questions-Western_Region.html
Khumbu, Should i book my lukla flight now for nov 14? (Closed topic)  by davoice2  ,4,09 October 2017,/ShowTopic-g1207738-i19967-k10901597-Should_i_book_my_lukla_flight_now_for_nov_14-Khumbu_Sagarmatha_Zone_Eastern_Region.html
Sagarmatha Zone, TIMS and other Permission(s) (Closed topic)  by HUNSteveB  ,7,09 October 2017,/ShowTopic-g3475445-i30441-k10906217-TIMS_and_other_Permission_s-Sagarmatha_Zone_Eastern_Region.html
Pokhara, Update: pokhara to sonauli border bus (Closed topic)  by Sarper  ,2,08 October 2017,/ShowTopic-g293891-i9631-k10913313-Update_pokhara_to_sonauli_border_bus-Pokhara_Gandaki_Zone_Western_Region.html
Annapurna Region, Bus from Pokhara to Siwai? (Closed topic)  by Rei K  ,0,"
by ",/ShowTopic-g424944-i12328-k10921783-Bus_from_Pokhara_to_Siwai-Annapurna_Region_Gandaki_Zone_Western_Region.html
Annapurna Region, Travelling to ticholo.. using motocycle (Closed topic)  by yogesh b  ,5,08 October 2017,/ShowTopic-g424944-i12328-k10920350-Travelling_to_ticholo_using_motocycle-Annapurna_Region_Gandaki_Zone_Western_Region.html
Kathmandu, When to visit Kathmandu (Closed topic)  by Pooja Mishra  ,2,07 October 2017,/ShowTopic-g293890-i9244-k10919592-When_to_visit_Kathmandu-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Sagarmatha Zone, hiking downhill - foot and shoes problem? (Closed topic)  by RobMassili  ,5,07 October 2017,/ShowTopic-g3475445-i30441-k10917464-Hiking_downhill_foot_and_shoes_problem-Sagarmatha_Zone_Eastern_Region.html
Pokhara, Heli service (Closed topic)  by Balram B  ,3,06 October 2017,/ShowTopic-g293891-i9631-k10915972-Heli_service-Pokhara_Gandaki_Zone_Western_Region.html
Khumbu," Agency requiring 20% deposit for EBC, is this required? (Closed topic)  by RobMassili  ",20,06 October 2017,/ShowTopic-g1207738-i19967-k10913040-Agency_requiring_20_deposit_for_EBC_is_this_required-Khumbu_Sagarmatha_Zone_Eastern_Regi.html
Sagarmatha Zone, how do you keep your knees ready for the EBC trek? (Closed topic)  by RobMassili  ,9,06 October 2017,/ShowTopic-g3475445-i30441-k10913048-How_do_you_keep_your_knees_ready_for_the_EBC_trek-Sagarmatha_Zone_Eastern_Region.html
Kathmandu, Tihar Festival 2017 (Closed topic)  by dazee1313  ,14,06 October 2017,/ShowTopic-g293890-i9244-k10845806-Tihar_Festival_2017-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, Nepalise Masks (Closed topic)  by Mark M  ,8,05 October 2017,/ShowTopic-g293890-i9244-k10845342-Nepalise_Masks-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, Visit to Nagakot from Kathmandu (Closed topic)  by sanjeebghosh  ,11,05 October 2017,/ShowTopic-g293890-i9244-k10859619-Visit_to_Nagakot_from_Kathmandu-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, Nepal (Closed topic)  by Amita R  ,7,05 October 2017,/ShowTopic-g293890-i9244-k10911929-Nepal-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, Tihar (Closed topic)  by zrooster99  ,3,05 October 2017,/ShowTopic-g293890-i9244-k10912812-Tihar-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, Booking Hotels. Best through Nepalise tour agent or direct? (Closed topic)  by Shyam G  ,11,05 October 2017,/ShowTopic-g293890-i9244-k10901733-Booking_Hotels_Best_through_Nepalise_tour_agent_or_direct-Kathmandu_Kathmandu_Valley_Bagma.html
Kathmandu, Thangkas where to buy (Closed topic)  by Jerry S  ,8,05 October 2017,/ShowTopic-g293890-i9244-k10904655-Thangkas_where_to_buy-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, Kathmandu pokhra 6 days trip (Closed topic)  by Rajaricky  ,8,05 October 2017,/ShowTopic-g293890-i9244-k10905411-Kathmandu_pokhra_6_days_trip-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Kathmandu, Honeymoon tour of Nepal in October 2017 (Closed topic)  by Shyam G  ,6,05 October 2017,/ShowTopic-g293890-i9244-k10900157-Honeymoon_tour_of_Nepal_in_October_2017-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Re.html
Pokhara," Tourist muggings, Gangs, Trekking scams, increasing! (Closed topic)  by Geezer_Butler  ",5,05 October 2017,/ShowTopic-g293891-i9631-k10879203-Tourist_muggings_Gangs_Trekking_scams_increasing-Pokhara_Gandaki_Zone_Western_Region.html
Khumbu, Variations between Namchee and Tengboche. (Closed topic)  by smartywishbone  ,24,05 October 2017,/ShowTopic-g1207738-i19967-k10904679-Variations_between_Namchee_and_Tengboche-Khumbu_Sagarmatha_Zone_Eastern_Region.html
Namche Bazaar, How high? (Closed topic)  by Alistair M  ,2,05 October 2017,/ShowTopic-g1203014-i26590-k10913241-How_high-Namche_Bazaar_Khumbu_Sagarmatha_Zone_Eastern_Region.html
Sagarmatha Zone, TIMS and Permits (Closed topic)  by Varun B  ,3,04 October 2017,/ShowTopic-g3475445-i30441-k10912061-TIMS_and_Permits-Sagarmatha_Zone_Eastern_Region.html
Kathmandu, Tailor to copy a dress in Kathmandu? (Closed topic)  by Italianadventurer  ,1,04 October 2017,/ShowTopic-g293890-i9244-k10911200-Tailor_to_copy_a_dress_in_Kathmandu-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
Annapurna Region, Trekking to tilicho and muktinath (Closed topic)  by Suprim K  ,13,04 October 2017,/ShowTopic-g424944-i12328-k10910882-Trekking_to_tilicho_and_muktinath-Annapurna_Region_Gandaki_Zone_Western_Region.html
Lukla, kathmandu to lukla and namche bazar (Closed topic)  by swagata m  ,13,04 October 2017,/ShowTopic-g1203015-i20087-k10560376-Kathmandu_to_lukla_and_namche_bazar-Lukla_Sagarmatha_Zone_Eastern_Region.html
Khumbu, can't decide - private tour or just hire guide/porter to EBC (Closed topic)  by davoice2  ,19,03 October 2017,/ShowTopic-g1207738-i19967-k10895061-Can_t_decide_private_tour_or_just_hire_guide_porter_to_EBC-Khumbu_Sagarmatha_Zone_Easter.html
Lumbini, Visiting Lumbini (Closed topic)  by Quang  ,4,03 October 2017,/ShowTopic-g424940-i14890-k10054326-Visiting_Lumbini-Lumbini_Lumbini_Zone_Western_Region.html
Jomsom, Carrying Laptops and Data Cards in Jomsom/Mukthinath  by lavydeepak  ,2,03 October 2017,/ShowTopic-g424950-i25020-k10907774-Carrying_Laptops_and_Data_Cards_in_Jomsom_Mukthinath-Jomsom_Dhaulagiri_Zone_Western_Regio.html
Lumbini, Pokhara to bhairwa  by yt27sms  ,3,03 October 2017,/ShowTopic-g424940-i14890-k10907651-Pokhara_to_bhairwa-Lumbini_Lumbini_Zone_Western_Region.html
Annapurna Region, Trekking Pokhara to Jomsom/Kagbeni with Mult sclerosis (Closed topic)  by john J  ,4,02 October 2017,/ShowTopic-g424944-i12328-k10903959-Trekking_Pokhara_to_Jomsom_Kagbeni_with_Mult_sclerosis-Annapurna_Region_Gandaki_Zone_West.html
Khumbu, What are the common illnesses for trekkers to EBC? (Closed topic)  by davoice2  ,11,02 October 2017,/ShowTopic-g1207738-i19967-k10903033-What_are_the_common_illnesses_for_trekkers_to_EBC-Khumbu_Sagarmatha_Zone_Eastern_Region.html
Eastern Region, Visa for 40 days in Nepal (Closed topic)  by The_Yeti2  ,10,02 October 2017,/ShowTopic-g3475433-i27487-k10903777-Visa_for_40_days_in_Nepal-Eastern_Region.html
Kathmandu, Car rent for drop off only (KTM- Dharan) (Closed topic)  by J K  ,5,01 October 2017,/ShowTopic-g293890-i9244-k10903520-Car_rent_for_drop_off_only_KTM_Dharan-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Regi.html
Pokhara, Any1 in pokhara want to explore the city ? (Closed topic)  by mamasaidko  ,0,"
by ",/ShowTopic-g293891-i9631-k10904673-Any1_in_pokhara_want_to_explore_the_city-Pokhara_Gandaki_Zone_Western_Region.html
Annapurna Region, Annapurna circuit October 2017 (Closed topic)  by LucianPopescu13  ,20,01 October 2017,/ShowTopic-g424944-i12328-k10877834-Annapurna_circuit_October_2017-Annapurna_Region_Gandaki_Zone_Western_Region.html
Pokhara, Top things to do in pokhara ? (Closed topic)  by mamasaidko  ,3,01 October 2017,/ShowTopic-g293891-i9631-k10901955-Top_things_to_do_in_pokhara-Pokhara_Gandaki_Zone_Western_Region.html
